ts_code,trade_date,open,high,low,close,vol,amount
000001.SH,20210930,3543.866,3723.845,3514.674,3568.167,1072908158400.0,12897806523784.0
000001.SH,20210831,3385.69,3544.094,3367.643,3543.94,894265998400.0,12702370923431.0
000001.SH,20210730,3600.546,3607.705,3312.721,3397.357,790394912200.0,11542100455988.0
000001.SH,20210630,3608.598,3629.29,3503.183,3591.197,668364524800.0,9302425170806.0
000001.SH,20210531,3446.074,3626.358,3384.697,3615.477,580168276500.0,7196232132503.0
000001.SH,20210430,3444.81,3497.121,3373.094,3446.856,569526841600.0,6871377086993.0
000001.SH,20210331,3531.48,3577.622,3328.312,3441.912,744063126300.0,8402503321523.0
000001.SH,20210226,3477.172,3731.687,3465.771,3509.08,484073831700.0,6510008571310.0
000001.SH,20210129,3474.679,3637.1,3446.547,3483.069,663962352900.0,9659809452885.0
000001.SH,20201231,3388.987,3474.918,3325.172,3473.069,644514554300.0,8351828084440.0
000001.SH,20201130,3228.715,3456.737,3209.909,3391.755,568057672500.0,7256434453397.0
000001.SH,20201030,3262.611,3371.086,3219.422,3224.533,303696134800.0,4268415366087.3
000001.SH,20200930,3389.742,3425.629,3202.344,3218.052,490622905000.0,6193724910342.7
000001.SH,20200831,3332.183,3456.721,3263.265,3395.678,735912569800.0,9621174850828.0
000001.SH,20200731,2991.181,3458.791,2984.984,3310.007,1024499525500.0,13240885503095.0
000001.SH,20200630,2871.964,2990.825,2871.964,2984.674,469981968500.0,5733482603571.1
000001.SH,20200529,2831.633,2914.284,2802.465,2852.351,370370726100.0,4488403499144.7
000001.SH,20200430,2743.541,2865.59,2719.904,2860.082,471037919700.0,5066189258964.0
000001.SH,20200331,2899.31,3074.257,2646.805,2750.296,698947474000.0,7504342403227.0
000001.SH,20200228,2716.698,3058.898,2685.269,2880.304,653701708700.0,7556709668651.9
000001.SH,20200123,3066.336,3127.169,2955.346,2976.528,387340424100.0,4461753881403.0
000001.SH,20191231,2874.448,3051.677,2857.32,3050.124,412769491100.0,4416950014848.7
000001.SH,20191129,2924.34,3008.314,2858.581,2871.981,304496168900.0,3357767280328.0
000001.SH,20191031,2905.756,3026.383,2891.539,2929.056,263518111200.0,2973472283905.0
000001.SH,20190930,2886.942,3042.928,2883.682,2905.189,394691554400.0,4558441165907.0
000001.SH,20190830,2920.851,2927.342,2733.924,2886.237,369448176300.0,4262760016981.0
000001.SH,20190731,3024.624,3048.484,2879.69,2932.506,371851528700.0,3992261571980.0
