ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688041.SH,20241231,153.3,154.68,149.4,149.61,153.82,-4.2099999999999795,-2.74,224460.78,3396781.825
688041.SH,20241230,154.81,158.99,151.15,153.82,154.86,-1.0400000000000205,-0.67,275322.13,4270340.687
688041.SH,20241227,158.99,160.48,154.6,154.86,158.99,-4.1299999999999955,-2.6,310318.59,4904550.635
688041.SH,20241226,154.81,160.41,154.32,158.99,156.41,2.5800000000000125,1.65,361541.65,5704294.979
688041.SH,20241225,147.32,161.03,147.32,156.41,140.58,15.829999999999984,11.26,486734.33,7606391.118
688041.SH,20241224,138.32,141.04,134.34,140.58,136.54,4.0400000000000205,2.96,325398.14,4488752.108
688041.SH,20241223,131.93,141.33,130.9,136.54,130.9,5.639999999999986,4.31,497680.4,6872295.632
688041.SH,20241220,127.85,133.12,127.63,130.9,128.63,2.2700000000000102,1.76,331843.63,4349429.405
688041.SH,20241219,120.41,130.73,119.38,128.63,121.06,7.569999999999993,6.25,335197.17,4248731.813
688041.SH,20241218,121.35,122.71,120.57,121.06,121.66,-0.5999999999999943,-0.49,143084.66,1739968.744
688041.SH,20241217,123.35,123.74,121.27,121.66,123.27,-1.6099999999999994,-1.31,114271.36,1400080.159
688041.SH,20241216,121.86,124.75,119.36,123.27,123.66,-0.39000000000000057,-0.32,161535.04,1983537.6
688041.SH,20241213,125.14,127.71,123.25,123.66,126.65,-2.990000000000009,-2.36,200891.17,2512476.343
688041.SH,20241212,123.73,127.53,123.65,126.65,124.23,2.4200000000000017,1.95,158256.41,1992953.428
688041.SH,20241211,129.24,130.26,123.73,124.23,130.14,-5.909999999999982,-4.54,252691.14,3178328.581
688041.SH,20241210,136.84,137.72,129.85,130.14,128.84,1.299999999999983,1.01,246687.77,3284302.074
688041.SH,20241209,129.83,130.6,127.12,128.84,129.65,-0.8100000000000023,-0.62,140262.47,1807958.204
688041.SH,20241206,128.45,132.24,126.15,129.65,127.87,1.7800000000000011,1.39,183892.73,2379502.664
688041.SH,20241205,127.45,129.64,126.61,127.87,128.74,-0.8700000000000045,-0.68,152784.65,1952056.238
688041.SH,20241204,128.36,133.54,126.85,128.74,125.22,3.5200000000000102,2.81,302521.23,3927942.877
688041.SH,20241203,127.5,127.72,123.64,125.22,126.74,-1.519999999999996,-1.2,159044.01,2004001.476
688041.SH,20241202,126.3,130.17,125.89,126.74,125.66,1.0799999999999983,0.86,183856.4,2352106.582
688041.SH,20241129,125.46,128.85,122.95,125.66,125.85,-0.18999999999999773,-0.15,213074.53,2691220.262
688041.SH,20241128,123.8,128.65,122.29,125.85,123.05,2.799999999999997,2.28,213448.84,2697715.247
688041.SH,20241127,116.76,123.65,116.16,123.05,117.96,5.090000000000003,4.32,208359.93,2525283.702
688041.SH,20241126,117.83,119.31,116.97,117.96,118.12,-0.1600000000000108,-0.14,124717.61,1477502.87
688041.SH,20241125,123.9,125.05,116.03,118.12,123.75,-5.6299999999999955,-4.55,280936.48,3338292.52
688041.SH,20241122,128.55,132.06,123.02,123.75,128.35,-4.599999999999994,-3.58,257154.58,3291711.791
688041.SH,20241121,125.45,131.28,125.36,128.35,126.39,1.9599999999999937,1.55,260849.75,3367446.92
688041.SH,20241120,127.06,129.59,124.95,126.39,127.05,-0.6599999999999966,-0.52,197065.99,2500334.604
688041.SH,20241119,123.07,127.63,122.22,127.05,122.96,4.090000000000003,3.33,216128.36,2702243.036
688041.SH,20241118,122.75,126.64,121.2,122.96,121.75,1.2099999999999937,0.99,252104.01,3119928.327
688041.SH,20241115,126.06,128.46,121.75,121.75,126.55,-4.799999999999997,-3.79,231038.05,2891839.474
688041.SH,20241114,129.64,132.74,126.23,126.55,131.35,-4.799999999999997,-3.65,295969.01,3833863.24
688041.SH,20241113,127.29,132.74,126.95,131.35,129.26,2.0900000000000034,1.62,285141.84,3719590.399
688041.SH,20241112,135.84,137.23,129.17,129.26,138.88,-9.620000000000005,-6.93,447249.08,5922228.426
