ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20240524,5281.45,5304.72,5311.65,5278.39,5267.84,36.88,0.7,0.63,1743354.0
SPX,20240523,5340.26,5267.84,5341.88,5256.93,5307.01,-39.17,-0.74,1.6,2290682.0
SPX,20240522,5319.28,5307.01,5323.18,5286.01,5321.41,-14.4,-0.27,0.7,2079437.0
SPX,20240521,5298.69,5321.41,5324.32,5297.87,5308.13,13.28,0.25,0.5,1974321.0
SPX,20240520,5305.35,5308.13,5325.32,5302.4,5303.27,4.86,0.09,0.43,1832282.0
SPX,20240517,5303.1,5303.27,5305.45,5283.59,5297.1,6.17,0.12,0.41,1967120.0
SPX,20240516,5310.07,5297.1,5325.49,5296.19,5308.15,-11.05,-0.21,0.55,2212539.0
SPX,20240515,5263.26,5308.15,5311.76,5263.26,5246.68,61.47,1.17,0.92,2309694.0
SPX,20240514,5221.1,5246.68,5250.37,5217.98,5221.42,25.26,0.48,0.62,2029372.0
SPX,20240513,5233.08,5221.42,5237.26,5211.16,5222.68,-1.26,-0.02,0.5,1947454.0
SPX,20240510,5225.49,5222.68,5239.66,5209.68,5214.08,8.6,0.16,0.57,1883333.0
SPX,20240509,5189.03,5214.08,5215.3,5180.41,5187.67,26.41,0.51,0.67,1972155.0
SPX,20240508,5168.98,5187.67,5191.95,5165.86,5187.7,-0.03,0.0,0.5,2091023.0
SPX,20240507,5187.2,5187.7,5200.23,5178.96,5180.74,6.96,0.13,0.41,2275797.0
SPX,20240506,5142.42,5180.74,5181.0,5142.42,5127.79,52.95,1.03,0.75,2174333.0
SPX,20240503,5122.78,5127.79,5139.12,5101.22,5064.2,63.59,1.26,0.75,2441285.0
SPX,20240502,5049.32,5064.2,5073.21,5011.05,5018.39,45.81,0.91,1.24,2622597.0
SPX,20240501,5029.03,5018.39,5096.12,5013.45,5035.69,-17.3,-0.34,1.64,2863485.0
SPX,20240628,5488.48,5460.48,5523.64,5451.12,5482.87,-22.39,-0.41,1.32,4191114.0
SPX,20240627,5473.59,5482.87,5490.81,5467.54,5477.9,4.97,0.09,0.42,2481422.0
SPX,20240626,5460.71,5477.9,5483.14,5451.87,5469.3,8.6,0.16,0.57,2559078.0
SPX,20240625,5460.73,5469.3,5472.88,5446.56,5447.87,21.43,0.39,0.48,2591287.0
SPX,20240624,5459.58,5447.87,5490.66,5447.59,5464.62,-16.75,-0.31,0.79,2764542.0
SPX,20240621,5466.77,5464.62,5478.31,5452.03,5473.17,-8.55,-0.16,0.48,5262188.0
SPX,20240620,5499.99,5473.17,5505.53,5455.56,5487.03,-13.86,-0.25,0.91,2910277.0
SPX,20240618,5476.15,5487.03,5490.38,5471.32,5473.23,13.8,0.25,0.35,2461867.0
SPX,20240617,5431.11,5473.23,5488.5,5420.4,5431.6,41.63,0.77,1.25,2420148.0
SPX,20240614,5424.08,5431.6,5432.39,5403.75,5433.74,-2.14,-0.04,0.53,2243055.0
SPX,20240613,5441.93,5433.74,5441.93,5402.51,5421.03,12.71,0.23,0.73,2400336.0
SPX,20240612,5409.13,5421.03,5447.25,5409.13,5375.32,45.71,0.85,0.71,2704467.0
SPX,20240611,5353.0,5375.32,5375.95,5327.25,5360.79,14.53,0.27,0.91,2348466.0
SPX,20240610,5341.22,5360.79,5365.79,5331.52,5346.99,13.8,0.26,0.64,2429865.0
SPX,20240607,5343.81,5346.99,5375.08,5331.33,5352.96,-5.97,-0.11,0.82,1858112.0
SPX,20240606,5357.8,5352.96,5362.35,5335.36,5354.03,-1.07,-0.02,0.5,2010878.0
SPX,20240605,5314.48,5354.03,5354.16,5297.64,5291.34,62.69,1.18,1.07,2146263.0
SPX,20240604,5278.24,5291.34,5298.8,5257.63,5283.4,7.94,0.15,0.78,2164150.0
SPX,20240603,5297.15,5283.4,5302.11,5234.32,5277.51,5.89,0.11,1.28,2302965.0
SPX,20240731,5505.59,5522.3,5551.51,5493.75,5436.44,85.86,1.58,1.06,3414672.0
SPX,20240730,5478.73,5436.44,5489.46,5401.7,5463.54,-27.1,-0.5,1.61,2986625.0
SPX,20240729,5476.55,5463.54,5487.74,5444.44,5459.1,4.44,0.08,0.79,2365508.0
