ts_code,symbol,name,area,industry,fullname,market,exchange,list_status,list_date
688391.SH,688391,钜泉科技,上海,半导体,钜泉光电科技(上海)股份有限公司,科创板,SSE,L,2022-09-13
688392.SH,688392,骄成超声,上海,专用机械,上海骄成超声波技术股份有限公司,科创板,SSE,L,2022-09-27
688393.SH,688393,安必平,广东,医疗保健,广州安必平医药科技股份有限公司,科创板,SSE,L,2020-08-20
688395.SH,688395,正弦电气,深圳,电气设备,深圳市正弦电气股份有限公司,科创板,SSE,L,2021-04-29
688396.SH,688396,华润微,江苏,半导体,华润微电子有限公司,科创板,SSE,L,2020-02-27
688398.SH,688398,赛特新材,福建,矿物制品,福建赛特新材股份有限公司,科创板,SSE,L,2020-02-11
688399.SH,688399,硕世生物,江苏,医疗保健,江苏硕世生物科技股份有限公司,科创板,SSE,L,2019-12-05
688400.SH,688400,凌云光,北京,专用机械,凌云光技术股份有限公司,科创板,SSE,L,2022-07-06
688401.SH,688401,路维光电,深圳,半导体,深圳市路维光电股份有限公司,科创板,SSE,L,2022-08-17
688403.SH,688403,汇成股份,安徽,半导体,合肥新汇成微电子股份有限公司,科创板,SSE,L,2022-08-18
688408.SH,688408,中信博,江苏,电气设备,江苏中信博新能源科技股份有限公司,科创板,SSE,L,2020-08-28
688409.SH,688409,富创精密,辽宁,半导体,沈阳富创精密设备股份有限公司,科创板,SSE,L,2022-10-10
688410.SH,688410,山外山,重庆,医疗保健,重庆山外山血液净化技术股份有限公司,科创板,SSE,L,2022-12-26
688416.SH,688416,恒烁股份,安徽,半导体,恒烁半导体(合肥)股份有限公司,科创板,SSE,L,2022-08-29
688418.SH,688418,震有科技,深圳,通信设备,深圳震有科技股份有限公司,科创板,SSE,L,2020-07-22
688419.SH,688419,耐科装备,安徽,半导体,安徽耐科装备科技股份有限公司,科创板,SSE,L,2022-11-07
688420.SH,688420,美腾科技,天津,专用机械,天津美腾科技股份有限公司,科创板,SSE,L,2022-12-09
688425.SH,688425,铁建重工,湖南,专用机械,中国铁建重工集团股份有限公司,科创板,SSE,L,2021-06-22
688426.SH,688426,康为世纪,江苏,生物制药,江苏康为世纪生物科技股份有限公司,科创板,SSE,L,2022-10-25
688428.SH,688428,诺诚健华-U,北京,生物制药,诺诚健华医药有限公司,科创板,SSE,L,2022-09-21
688429.SH,688429,时创能源,江苏,电气设备,常州时创能源股份有限公司,科创板,SSE,L,2023-06-29
688432.SH,688432,有研硅,北京,半导体,有研半导体硅材料股份公司,科创板,SSE,L,2022-11-10
688433.SH,688433,华曙高科,湖南,专用机械,湖南华曙高科技股份有限公司,科创板,SSE,L,2023-04-17
688435.SH,688435,英方软件,上海,软件服务,上海英方软件股份有限公司,科创板,SSE,L,2023-01-19
688439.SH,688439,振华风光,贵州,元器件,贵州振华风光半导体股份有限公司,科创板,SSE,L,2022-08-26
688443.SH,688443,智翔金泰-U,重庆,生物制药,重庆智翔金泰生物制药股份有限公司,科创板,SSE,L,2023-06-20
